date,daily_fees_usd,daily_revenue_usd,daily_volume_usd,tvl_usd,month
2023-05-21,,,,70960610,2023-05
2023-05-22,,,,70501260,2023-05
2023-05-23,,,,72305546,2023-05
2023-05-24,,,,73732006,2023-05
2023-05-25,,,,72441863,2023-05
2023-05-26,,,,73453830,2023-05
2023-05-27,,,,77546683,2023-05
2023-05-28,,,,78076873,2023-05
2023-05-29,,,,79633498,2023-05
2023-05-30,,,,78939544,2023-05
2023-05-31,,,,80490197,2023-05
2023-06-01,,,,80939070,2023-06
2023-06-02,,,,80653269,2023-06
2023-06-03,,,,82366837,2023-06
2023-06-04,,,,82360388,2023-06
2023-06-05,,,,82458593,2023-06
2023-06-06,,,,84727721,2023-06
2023-06-07,,,,89060435,2023-06
2023-06-08,,,,93299106,2023-06
2023-06-09,,,,96617351,2023-06
2023-06-10,,,,102805675,2023-06
2023-06-11,,,,100772054,2023-06
2023-06-12,,,,100863895,2023-06
2023-06-13,,,,98678022,2023-06
2023-06-14,,,,100030756,2023-06
2023-06-15,,,,97374122,2023-06
2023-06-16,,,,97259112,2023-06
2023-06-17,,,,100289373,2023-06
2023-06-18,,,,101108941,2023-06
2023-06-19,,,,101775668,2023-06
2023-06-20,,,,105055668,2023-06
2023-06-21,,,,106647736,2023-06
2023-06-22,,,,112849598,2023-06
2023-06-23,,,,112002381,2023-06
2023-06-24,,,,114197918,2023-06
2023-06-25,,,,114823476,2023-06
2023-06-26,,,,116763840,2023-06
2023-06-27,,,,117099813,2023-06
2023-06-28,,,,118891809,2023-06
2023-06-29,,,,118093545,2023-06
2023-06-30,,,,119739193,2023-06
2023-07-01,,,,123044553,2023-07
2023-07-02,,,,122521941,2023-07
2023-07-03,,,,125104408,2023-07
2023-07-04,,,,127199019,2023-07
2023-07-05,,,,128872345,2023-07
2023-07-06,,,,125755298,2023-07
2023-07-07,524.0,165.0,,125460654,2023-07
2023-07-08,1556.0,459.0,,127946501,2023-07
2023-07-09,962.0,141.0,,133597245,2023-07
2023-07-10,1664.0,265.0,,134445913,2023-07
2023-07-11,710.0,108.0,,137044504,2023-07
2023-07-12,1135.0,183.0,,138209227,2023-07
2023-07-13,1810.0,512.0,,137671056,2023-07
2023-07-14,1726.0,481.0,,146274291,2023-07
2023-07-15,1057.0,260.0,,143843778,2023-07
2023-07-16,1299.0,248.0,,143606314,2023-07
2023-07-17,2481.0,196.0,,143092718,2023-07
2023-07-18,868.0,305.0,,143913989,2023-07
2023-07-19,1760.0,286.0,,154740570,2023-07
2023-07-20,528.0,184.0,,155102808,2023-07
2023-07-21,1600.0,450.0,,155619187,2023-07
2023-07-22,1007.0,185.0,,153487933,2023-07
2023-07-23,2313.0,182.0,,150712679,2023-07
2023-07-24,1319.0,312.0,,152352029,2023-07
2023-07-25,753.0,107.0,,150049801,2023-07
2023-07-26,267.0,267.0,,150586084,2023-07
2023-07-27,1516.0,1516.0,,153859270,2023-07
2023-07-28,591.0,591.0,,153224303,2023-07
2023-07-29,676.0,676.0,,153659431,2023-07
2023-07-30,943.0,943.0,,154674603,2023-07
2023-07-31,743.0,743.0,,151335610,2023-07
2023-08-01,1070.0,1070.0,,148345948,2023-08
2023-08-02,1013.0,1013.0,,148123291,2023-08
2023-08-03,1126.0,1126.0,,145680266,2023-08
2023-08-04,1030.0,1030.0,,144374527,2023-08
2023-08-05,407.0,407.0,,144016496,2023-08
2023-08-06,944.0,944.0,,143522230,2023-08
2023-08-07,717.0,717.0,,143381022,2023-08
2023-08-08,744.0,744.0,,140216285,2023-08
2023-08-09,724.0,724.0,,145291054,2023-08
2023-08-10,689.0,689.0,,145118328,2023-08
2023-08-11,733.0,733.0,,143257886,2023-08
2023-08-12,711.0,711.0,,144097264,2023-08
2023-08-13,460.0,460.0,,144625374,2023-08
2023-08-14,909.0,909.0,,142724050,2023-08
2023-08-15,926.0,926.0,,143315673,2023-08
2023-08-16,735.0,735.0,,141588684,2023-08
2023-08-17,1118.0,1118.0,,138829533,2023-08
2023-08-18,870.0,870.0,,127915432,2023-08
2023-08-19,1952.0,1952.0,,126893806,2023-08
2023-08-20,278.0,278.0,,127211289,2023-08
2023-08-21,734.0,734.0,,127236738,2023-08
2023-08-22,1904.0,1904.0,,126259795,2023-08
2023-08-23,1529.0,1529.0,,117528475,2023-08
2023-08-24,1479.0,1479.0,,117510575,2023-08
2023-08-25,815.0,815.0,,126247062,2023-08
2023-08-26,603.0,603.0,,127111351,2023-08
2023-08-27,1088.0,1088.0,,126467362,2023-08
2023-08-28,933.0,933.0,,128383275,2023-08
2023-08-29,1627.0,1627.0,,133257308,2023-08
2023-08-30,1554.0,1554.0,,140480799,2023-08
2023-08-31,2109.0,2109.0,,139413802,2023-08
2023-09-01,747.0,747.0,,135975950,2023-09
2023-09-02,408.0,408.0,,135776051,2023-09
2023-09-03,550.0,550.0,,136193840,2023-09
2023-09-04,862.0,862.0,,136074884,2023-09
2023-09-05,428.0,428.0,,136480082,2023-09
2023-09-06,1208.0,1208.0,,137810650,2023-09
2023-09-07,1393.0,1393.0,,141599956,2023-09
2023-09-08,779.0,779.0,,145497030,2023-09
2023-09-09,753.0,753.0,,145013252,2023-09
2023-09-10,583.0,583.0,,145061970,2023-09
2023-09-11,1027.0,1027.0,,144171527,2023-09
2023-09-12,520.0,520.0,,140896933,2023-09
