chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Ethereum,sparklend,LBTC,188448831,0.0,,0.0,,ff17b423-bccc-4d12-9a72-68bde120ac62,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.0,0.0,365,False,['0x8236a87084f8B84306f72007F36F2618A5634494'],,,0.0,,,
Ethereum,sparklend,USDT,100627206,1.96041,,1.96041,,8fbe28b8-140d-4e37-8804-5d2aba4daded,-0.0333,-0.00096,-0.15608,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 89, 'binnedConfidence': 3}",,4.45112,0.12617,817,False,['0xdAC17F958D2ee523a2206206994597C13D831ec7'],,,1.92457,,,
Gnosis,sdai,SDAI,87739234,,,4.13933,,13392973-be6e-4b2f-bce9-4f7dd53d1c3a,-0.03497,-0.2814,-0.72308,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 3}",,7.9095,0.16664,911,False,['0xe91D153E0b41518A2Ce8Dd3D7944Fa863463a97d'],,,4.41006,,,
Ethereum,sparklend,PYUSD,80459277,0.72046,,0.72046,,995b269a-8409-4c55-b97e-868f443b432e,0.00013,-0.11365,-0.2158,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 75, 'binnedConfidence': 3}",,1.64443,0.04723,239,False,['0x6c3ea9036406852006290770BEdFcAbA0e23A0e8'],,,0.82346,,,
Ethereum,sparklend,WETH,79066481,1.61417,,1.61417,,24195b31-d749-445f-bf9e-b65aa025ebdd,-0.02529,0.4099,-0.1708,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 70, 'binnedConfidence': 2}",,1.62176,0.02978,1061,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,1.46599,,,
Ethereum,sparklend,WEETH,73679169,0.0,,0.0,,9da8a761-eb0f-4d41-ad05-0ebb2ed82913,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.0,0.0,659,False,['0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee'],,,0.0,,,
Avalanche,spark-savings,USDC,69978512,3.75,,3.75,,e96cbd55-a0a0-446a-89ba-ada6e2991d50,0.0,0.0,-0.25,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 62, 'binnedConfidence': 2}",,3.92816,0.00573,101,False,['0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E'],,,3.76838,,,
Ethereum,sky-lending,WSTETH,49991898,,,0.0,,51eb4b5c-6d62-42fe-99d6-92ba6eecd2d5,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",WSTETH-A,0.0,0.0,1254,False,['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0'],,,0.0,,,
Ethereum,sparklend,USDS,38566350,2.55132,,2.55132,,0ed981dc-b49d-426d-ade5-6014728b1ef9,0.00032,-0.00014,-0.03489,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 77, 'binnedConfidence': 3}",,2.85715,0.06226,392,False,['0xdC035D45d973E3EC169d2276DDab16f1e407384F'],,,2.55404,,,
Ethereum,spark-savings,ETH,35446451,1.6,,1.6,,bace601a-530a-432c-9b79-8c6451de25ea,-0.05,0.4,-0.2,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 78, 'binnedConfidence': 3}",,1.46315,0.01094,101,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,1.45187,,,
Ethereum,sparklend,EZETH,32392975,0.0,,0.0,,c57cefe1-76a6-42e2-9020-10af388c32e8,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.0,0.0,325,False,['0xbf5495Efe5DB9ce00f80364C8B423567e58d2110'],,,0.0,,,
Ethereum,sparklend,RETH,28110673,1e-05,,1e-05,,8751078b-6be1-403b-ac44-9f11fe87d400,0.0,0.0,0.0,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",,0.00371,0.00072,977,False,['0xae78736Cd615f374D3085123A210448E74Fc6393'],,,1e-05,,,
Ethereum,sparklend,WBTC,24902584,0.00035,,0.00035,,03406d3a-fcc4-4fe3-8809-7a95222951b6,0.0,0.0,0.0,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 65, 'binnedConfidence': 2}",,0.00587,0.00065,865,False,['0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599'],,,0.00035,,,
Ethereum,sparklend,CBBTC,22605184,0.0329,,0.0329,,00d1e1f8-b3c8-4350-a247-5da693d2d4dd,0.0,-0.00048,0.00301,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 78, 'binnedConfidence': 3}",,0.01007,0.00094,553,False,['0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf'],,,0.03663,,,
Ethereum,sky-lending,WBTC,18483501,,,0.0,,bd335b46-3daf-4507-adb2-6fd4337ea33b,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",WBTC-A,0.0,0.0,1254,False,['0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599'],,,0.0,,,
Ethereum,sky-lending,WETH,18371828,,,0.0,,44c94cb2-8af3-4b7a-8cb5-0784ddcf3471,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",ETH-B,0.0,0.0,1254,False,['0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2'],,,0.0,,,
Flare,sparkdex-v3.1,USD₮0-USDC.E,12299358,0.09991,4.18918,4.28909,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],a2851527-da35-4688-bacb-2ad86991d9db,0.01034,-0.15079,-0.00717,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 92, 'binnedConfidence': 3}",,10.66935,0.28051,287,False,"['0xe7cd86e13ac4309349f30b3435a9d337750fc82d', '0xfbda5f676cb37624f28265a144a48b0d6e87d3b6']",,,4.29874,,,
