date,protocol,totalLiquidityUSD
NaT,curve-finance,988442749.0
NaT,curve-finance,1008334027.0
NaT,curve-finance,1016191833.0
NaT,curve-finance,1041398391.0
NaT,curve-finance,1028820973.0
NaT,curve-finance,1018210974.0
NaT,curve-finance,1042172150.0
NaT,curve-finance,1081740254.0
NaT,curve-finance,1098766965.0
NaT,curve-finance,1136301029.0
NaT,curve-finance,1148177967.0
NaT,curve-finance,1157150228.0
NaT,curve-finance,1167600457.0
NaT,curve-finance,1180172482.0
NaT,curve-finance,1257033546.0
NaT,curve-finance,1326620802.0
NaT,curve-finance,1351093214.0
NaT,curve-finance,1336270203.0
NaT,curve-finance,1389611229.0
NaT,curve-finance,1373092252.0
NaT,curve-finance,1352960757.0
NaT,curve-finance,1384243786.0
NaT,curve-finance,1408913572.0
NaT,curve-finance,1402824469.0
NaT,curve-finance,1334901651.0
NaT,curve-finance,1344529944.0
NaT,curve-finance,1379020400.0
NaT,curve-finance,1404382846.0
NaT,curve-finance,1423195025.0
NaT,curve-finance,1373804929.0
NaT,curve-finance,1417013884.0
NaT,curve-finance,1458623349.0
NaT,curve-finance,1451764770.0
NaT,curve-finance,1482547453.0
NaT,curve-finance,1497686286.0
NaT,curve-finance,1516333896.0
NaT,curve-finance,1452856074.0
NaT,curve-finance,1461822321.0
NaT,curve-finance,1426103611.0
NaT,curve-finance,1425957948.0
NaT,curve-finance,1454618221.0
NaT,curve-finance,1468426011.0
NaT,curve-finance,1476447341.0
NaT,curve-finance,1498838582.0
NaT,curve-finance,1406202229.0
NaT,curve-finance,1413862012.0
NaT,curve-finance,1396848615.0
NaT,curve-finance,1437280097.0
NaT,curve-finance,1440623602.0
NaT,curve-finance,1424053706.0
NaT,curve-finance,1434988039.0
NaT,curve-finance,1426385891.0
NaT,curve-finance,1441121916.0
NaT,curve-finance,1445397403.0
NaT,curve-finance,1495445029.0
NaT,curve-finance,1477023601.0
NaT,curve-finance,1487944744.0
NaT,curve-finance,1479314229.0
NaT,curve-finance,1401696075.0
NaT,curve-finance,1408240949.0
NaT,curve-finance,1394024550.0
NaT,curve-finance,1461428756.0
NaT,curve-finance,1464588617.0
NaT,curve-finance,1378695159.0
NaT,curve-finance,1525281084.0
NaT,curve-finance,1580650404.0
NaT,curve-finance,1627891336.0
NaT,curve-finance,1671831478.0
NaT,curve-finance,1678369995.0
NaT,curve-finance,1645393127.0
NaT,curve-finance,1557399547.0
NaT,curve-finance,1556546266.0
NaT,curve-finance,1636228484.0
NaT,curve-finance,1665268868.0
NaT,curve-finance,1717934986.0
NaT,curve-finance,1742668295.0
NaT,curve-finance,1789222926.0
NaT,curve-finance,1850735870.0
NaT,curve-finance,1930127825.0
NaT,curve-finance,1943370214.0
NaT,curve-finance,1798349875.0
NaT,curve-finance,1941082966.0
NaT,curve-finance,2027111743.0
NaT,curve-finance,2089771124.0
NaT,curve-finance,2234041412.0
NaT,curve-finance,2294863927.0
NaT,curve-finance,2238194446.0
NaT,curve-finance,2460060621.0
NaT,curve-finance,2512352823.0
NaT,curve-finance,2530194437.0
NaT,curve-finance,2459837323.0
NaT,curve-finance,2566319486.0
NaT,curve-finance,2740543342.0
NaT,curve-finance,2938365025.0
NaT,curve-finance,2984235446.0
NaT,curve-finance,3185764355.0
NaT,curve-finance,3277146253.0
NaT,curve-finance,3284879948.0
NaT,curve-finance,3629438068.0
NaT,curve-finance,3647037944.0
NaT,curve-finance,3583998630.0
NaT,curve-finance,3764112521.0
NaT,curve-finance,3796593247.0
NaT,curve-finance,3766106800.0
NaT,curve-finance,3896139445.0
NaT,curve-finance,3901120425.0
NaT,curve-finance,3916676403.0
NaT,curve-finance,3970380340.0
NaT,curve-finance,3972746519.0
NaT,curve-finance,4078738624.0
NaT,curve-finance,4072795906.0
NaT,curve-finance,4150155545.0
NaT,curve-finance,3938916095.0
NaT,curve-finance,3594753529.0
NaT,curve-finance,3652552023.0
NaT,curve-finance,3562474047.0
NaT,curve-finance,3423155262.0
NaT,curve-finance,3330932344.0
NaT,curve-finance,3280370831.0
NaT,curve-finance,3484399625.0
NaT,curve-finance,3424569619.0
NaT,curve-finance,3657397105.0
NaT,curve-finance,3638586252.0
NaT,curve-finance,3640171678.0
NaT,curve-finance,3632910797.0
NaT,curve-finance,3176588877.0
NaT,curve-finance,3308202373.0
NaT,curve-finance,3529445850.0
NaT,curve-finance,3479506575.0
NaT,curve-finance,3561801934.0
NaT,curve-finance,3710277023.0
NaT,curve-finance,3915513207.0
NaT,curve-finance,3845613381.0
NaT,curve-finance,3776480892.0
NaT,curve-finance,3748851495.0
NaT,curve-finance,3824767962.0
NaT,curve-finance,3771962781.0
NaT,curve-finance,3881322463.0
NaT,curve-finance,3914913050.0
NaT,curve-finance,3837758843.0
NaT,curve-finance,3713199844.0
NaT,curve-finance,3658750417.0
NaT,curve-finance,3546890239.0
NaT,curve-finance,3544036227.0
NaT,curve-finance,3718541887.0
NaT,curve-finance,3752001455.0
NaT,curve-finance,3804461040.0
NaT,curve-finance,3921805758.0
NaT,curve-finance,3986499461.0
NaT,curve-finance,4069517522.0
NaT,curve-finance,4043999845.0
NaT,curve-finance,4142513358.0
NaT,curve-finance,4046334327.0
NaT,curve-finance,4120025383.0
NaT,curve-finance,4163849449.0
NaT,curve-finance,4186515879.0
NaT,curve-finance,4237847787.0
NaT,curve-finance,4435278775.0
